topic_id,text
Group 52,"[""it's their summer "", ""it's their summer. "", 'These conditions are far more extreme than anything humans encounter on planet earth. \n', 'At the most basic level, the electoral college is unfair to voters. ']"
Group 53,"['the electoral college restores some of the weight in the political balance that large states by population lose by virtue of the mal- apportionment of the senate decreed in the constitutuion ', 'The Electoral College restores some of the weight in the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constitution ']"
Group 54,"['The most worrying is the prospect of a tie in the electoral vote. ', 'Perhaps most worrying is the prospect of a tie in the electoral vote. ', 'The electoral college is unfair to voters. ']"
Group 55,"['people are happier without cars ', 'people are happier without cars. ']"
Group 56,"['The Electoral College process consists of selection of the electors , the meeting of the electors where they vote for presisdent and Vice president , and the counting of the electoral votes by congress . ', 'The electoral college process consists many of the selection of the electors like meeting of the electors where they vote for president and vice president also counting of the electoral votes by congress. ']"
Group 57,"['Venus is a challenging planet to study ', 'venus is an challenging planet for humans to study ', 'The electoral college is unfair to voters. ']"
Group 58,"[""The Electoral College is unfair to it's voters "", 'the electoral college is unfair to voters ']"
Group 59,"[""Student-designed summer assignment's would result in a relaxed, but still productive and educational summer that will help better prepare student's in the upcoming school year. "", ""Lastly, student-designed summer assignments would result in a relaxed, but still productive and educational summer that will help better prepare student's in the upcoming school year. ""]"
Group 60,"['The electoral college creates an unfair system to gaining votes. ', 'The electoral college creates an unfair set up for the voters. ']"
Group 61,"['The reason this is unfair is becasue of the ""winner-take-all system"" ', 'The first reason this is unfair is becasue of the ""winner-take-all system"". ', 'The electoral college avoids the problem of elections in which no condidate receives a majority of the vote cast. ']"
Group 62,"['Venus is the closes planet to being Earth-like. ', 'Venus is the closes planet to being Earth-like ', 'The electoral college is unfair , outdated and also irrational. ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ', 'The electoral college is unfair, outdated, and irrational. ']"
Group 63,"['The Electoral College is overall unfair to the voters. ', 'The electoral college process is unfair to voters. ']"
Group 64,"['be more creative, ', 'be creative, ']"
Group 65,"['Second it looks like it is attached to the ground ', 'Second of all It looks attached to the ground. ']"
Group 66,"['The Electoral College requires a presidential candidate to have trans-regional appeal. ', 'Which is the Electoral College requires a presidential candidate to have trans-regional appeal. ']"
Group 67,"['the different perspectives ', 'different perspectives ']"
Group 68,"['First, the idea that studying Venus is a worthy pursuit despite the dangers is well supported by the author as seen through the many rewards of studying Venus ', 'Secondly, the idea that studying Venus is a worthy pursuit despite the dangers is well supported by the author as seen through the large amount of progress that has been made towards studying Venus ', 'The electoral college restores some of the weight in the political balance that larges states lose by virtue of the mal-apportionment of the senate decreed in the constitution. ']"
Group 69,"['The next reason our school should continue to require extracurricular activities is because it helps students build new friendships. ', 'The final reason our school should continue to require extracurricular activities is because it gives students the opportunity to try new things. ', 'The electoral college avoids the problem of elections in which no condidate receives a majority of the vote cast. ', 'the Electoral College is process consists of the selection of the electors ,which the meeting of the electors where they vote for President and Vice President , and the counting of the electoral votes by congress. ', 'The Electoral College avoids the problem of elections in which no candiates receives a majority of the votes cast. ']"
Group 70,"['some people have more experience than you. ', 'some people have more experience than you in certain areas. ']"
Group 71,"['Consider that state legislature are technically responsible for picking electors, and that those electors always defy the will of the people. ', 'Consider that state legislatures are technically responsible for picking electors, and that those electors could always defy the will of the people.\xa0 ', 'big states ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ']"
Group 72,"['under the electoral college system, voters vote not for the president but for a slate of electors, who in turn elect the president. ', '\nThe electoral college system, voters vote not for the president, but for the slate of of electors, who in turn elect the president. ', 'big states ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ']"
Group 73,"['also if you ask for advice and it doesnt solve the problem you have to ask more people and tell the first person there advice didnt help ', 'If you ask for advice and it doesnt solve the problem you have to ask more people and tell the first person there advice didnt help. ']"
Group 74,"['Venus is simple to see from the distant but safe vantage point of earth, it had proved a very challenging place to examine more closely. ', 'Venus is simple to see from the distant but safe vantage point of earth, it has proved a very challenging place to examine more closely. ', 'The electoral college is unfair, outdated, and irrational. ']"
Group 75,"['This would let you see the world in a differnt way. ', 'this oppertonuty would let you see the world in a differnt way. ']"
Group 76,"['Most states have a winner takes all system that awards all electors to the winning presidential candidate. ', 'most states have a winner-take-all system that awards all electors to the winning presidential candidate. ']"
Group 77,"['One reason why summer projects should be student-designed is the fact that it fosters creativity. ', 'Another reason why summer projects should be student-designed is the fact that it engages students to be self-reliant. ', 'The electoral college avoids the problem of elections in where no candidate recieves a high number of votes. ']"
Group 78,"['It could be a computer image hicup ', 'First off, it could be a computer image hicup ', 'most importantly, the electoral college is unfair to voters . ', 'It can be argued that the electoral college method of selecting the president may turn off potential voters for a candidate who has no intention or hope of carrying their state ', 'The electoral college avoids the problem of elections in which no candidate receives a majority of the votes cast. ']"
Group 79,"['they wouldnt be very surportive during deflict stiutions. ', 'They wouldnt be as surportive during deflict stiutions ']"
Group 80,"['The Electoral college is unfair to voters,because of the winner-take-all system in each state, ', 'however the electoral college is unfair to voters, because of the winner-take-all system in each state. ']"
Group 81,"['In Paragraph 8, it states, ""Striving to meet the challenge presented by Venus has value, not only because of the insight to be gained on the planet itself, but also human curiousity will likely lead us into many equally intimidating endeavors. Our travels on Earth and beyond should not be limited by dangers and doubts but should expanded to meet the very deges of imagination and innovation.""         ', 'In paragraph 8, it says ""Striving to meet the challenge presented by Venus has value, not only becuse of the insight to be gained on the planet itself, but also becuse human curiosity will likely lead us into many equally could be explored and lead up to much bigger things. ', 'Also the Electoral College restores some of the weight in the political balance that large states by the population lose by virtue of the mal-apportionment of the senate decreed in the constitition ']"
Group 82,"['The electoral college is unfair to voters because of the winner-take-all system in all the states, ', 'The electoral college is unfair to the voters because of the winner-take-all system. ']"
Group 83,"[""we dont get to vote for our candidate's electors "", ""\nWe dont get to vote for our candidate's electors. "", 'The electoral college is unfair, outdated and irrational. ']"
Group 84,"[""Everyone's President "", ',Everyones president ']"
Group 85,"['""At the most basic level, the electoral college is unfair to voters. Because of the winner-take-all system in each state, candidates don\'t spend time in states they know they have no chance of winning, focusing only on the tight racs in the ""swing"" states."" ', '""At the most basic level, the electoral college is unfair to voters. Because of the winner-takes-all system in each state, candidates dont spend time in states they know they have no chance of winning, focusing only on the tight races in the ""swing"" states."" ']"
Group 86,"['\xa0Summer projects should be teacher-designed because teachers have a better understanding of the material, ', 'Summer projects should be teacher-designed because it ensures that students will work efficiently ']"
Group 87,"['The electoral college avoids the problem of elections in which no canidate recieves a majority of the votes cast. ', 'The Electoral College also avoids the problem of elections in which no candidate receives majority of the votes cast. ']"
Group 88,"['Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all agreed on one thing, and it was abolishing the Electoral College. ', 'Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all agreed on one thing, and it was aboloshing the Electoral College. ']"
Group 89,"['When ever someone gets the same answer they know what to do, but when you get various answers you still know what to do ', 'When ever someone gets the same answer they know what to do, but when they get various answers they still know what to do ', 'swing states, ']"
Group 90,"['Irrational, ', 'irrational. ']"
Group 91,"['The Electoral College is not fair. ', 'The electoral college is not fair to the voters. ']"
Group 92,"['they might go out of control ', 'they might go out of control. ']"
Group 93,"['The Electoral College restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportionment of the Senate decreed in the Consistution ', 'The Electoral college restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportonment\xa0 of the senate decreed in the constitution ']"
Group 94,"['The electoral college is widely regarded as an anachronism, a non-democratic method of selecting a president that ought to be [overruled] by delcaring the candidate who receives the most popular votes the winner. ', 'The electoral college is widely regarded as an anachronism, a non democratic method of choosing a president that ought to be overruled by declaring the candidate who recieves the most popular votes the winner ', 'The electoral college is unfair, outdated and irrational. ']"
Group 95,"['The electoral college avoids the problem of elections in which no canidate receives a majority of the votes cast ', 'The Electoral College avoids the problem of elections in which no candidate receives a majority of the votes cast ']"
Group 96,"['it reduces air pollution, ', 'it also reduces air pollution. ']"
Group 97,"['Avoid Run Off Elections ', 'Avoid Run-Off Elections ', 'Under the electoral college the people vote not for the president, but for the slate of elector, who in turn elect the president. ']"
Group 98,"['the Electoral College is fair for the people. \n', 'The Electoral College is fair to everyone ', 'The electoral college is unfair to voters. ']"
Group 99,"[""every thing we've worked so hard to achieve will be changed. "", ""Also everything we've worked so hard to achieve will be changed. ""]"
Group 100,"['These conditions are far more extreme than anything human would encounter on Earth. ', 'the conditions are far more extreme than anything humans can encounter on earth. ']"
Group 101,"['First of all, students will benefit from online class because they can manage their own time. ', 'Secondly, students will benefit from attending class online because they can work at their own pace. ', 'It can be argued that the Electoral college method of selecting the president may turn off potential voters for candidate who has no hope of carrying thier state ']"
Group 102,"['yet, the electoral college still has its defenders. ', 'And yet, the electoral college still has its defenders. ', 'The Electoral College requires a presidential candidate to have trans-regional appeal. ', 'The Electoral college is unfair ', 'The electoral college is unfair , outdated and also irrational. ']"
Group 103,"[""It's also unfair to voters "", 'it is unfair to voters ']"
Group 104,"['an increasing rate of accidents ', 'the increasing rate of accidents. ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ', 'The best argument against the electoral college would have to be the disaster factor. ']"
Group 105,"['its good to participate in extracurricular activities. ', 'Extracurricular activities are good to participate in. ']"
Group 106,"[', but NASA unveiled an image of the Face and this is what they came up with. According to the caption of the image, it noted a ""huge rock formation . . . which resembles a human head . . . formed by shadows giving the illusion of eyes, nose, annd mouth."" ', 'A few days later NASA unvield the image for all to see. the caption noted a "" huge rock formation... which resembles a human head... formed by shadows giving the illusion of eyes, nose, and mouth"" ', 'The electoral college restores some of the weight in the political balance that larges states lose by virtue of the mal-apportionment of the senate decreed in the constitution. ']"
Group 107,"['reduce pollution. ', 'reduce the pollution. ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ', 'The Electoral College requires a presidential candidate to have trans-regional appeal. ']"
Group 108,"['The Electoral College restores some of the weight in the political balance that large states (by population) lose by virtue of the senate decreed in the constitution. ', 'The Electoral College restores some of the weight in the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constitution. ']"
Group 109,"['but it is less likely than a dispute over the popular vote. ', ""but it's less likely than a dispute over the populat vote. ""]"
Group 110,"['Also the Electoral College restores some of the weight in the political balance the large states by population lose by virtue of the mal-apportionment Senate decreed in the Constitution. ', 'The electoral college restores some of the weigth on the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constitution. ']"
Group 111,"['well it is not. ', 'but it is really not. ']"
Group 112,"['One reason teachers should be designing the Summer projects is because they know more about the material. ', 'Another reason why teachers should be designing the Summer projects is because they would make it challenging enough. ', 'The Electoral College in most cases is unfair to most voters because of the whole ""winner-take-all policy"". ']"
Group 113,"['but its worth it in the long run. ', 'but it is worth a shot. ']"
Group 114,"['the founding fathers established it in the constitution as a compromise between election of the president by a vote in congress and election of the president by a popular vote of qualified citizens. ', 'The founding fathers established it in the Constitution as a compromise Between election of the President by a vote in congress and election of the president by a popular vote. ']"
Group 115,"['So if there were objects in this picture like airplanes on the ground or egyptian style pyramids or even small shacks you could see what they were!    ', ""so if there were objects in the this picture like airplanes on the ground or Egyptain-style pyramids or even small shacks, you can see what they were!' ""]"
Group 116,"['Some people might just think community service takes too much time away from what they have to do and is a waste of time ', 'Some people think community service is a waste of time ']"
Group 117,"['NASA is working on other approaches to studying Venus ', 'NASA is working on other approaches to studying venus. ']"
Group 118,"['And finally, a third reason we do not need driverless cars in this day and age, is people would forget how to drive a regular car or neglect to even learn if the car drove itself. ', 'A third and final reason that we do not need driverless cars is if we did, people would forget how to drive a regular car, or neglect to even learn. ']"
Group 119,"['Driverless cars might even cause more accidents ', 'Driverless cars could cause more accidents ']"
Group 120,"[""humans have to study everything about Venus because of Venus's reputation it is a very challenging planet. "", 'As you can tell Venus is a challenging planet for humans to study because of its reputation. ']"
Group 121,"['""That\'s a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars."" ', '""That\'s a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars."" ']"
Group 122,"['single best argument against the electoral college would be what we call the disaster factor ', 'The single best argument against the electoral college is that we might call the disaster factor ', 'however the electoral college is unfair to voters, because of the winner-take-all system in each state. ', 'The Electoral College is unfair ', 'the electoral college is unfair to voters ']"
Group 123,"['The electoral college requires a presidential candidate to have trans-regional appeal. ', 'The electoral college requires a presidential candidate to have a transregional appeal. \n']"
Group 124,"[""It's fun "", 'it is fun. ', 'The Electoral College avoids the problem of elections in which no candiates receives a majority of the votes cast. ']"
Group 125,"['Thousands of anxious web surfers were waiting when the image first appeared on a JPL web site, revealing a natural landform. There was no alien monument after all. ', 'Thousands of web surfers waiting when the image first appeared on a JLP web site,revealing a natural landform. There was no alien monument. ']"
Group 126,"['driverless cars would not be a good idea to implement into society because drivers could get reckless at the wheel. ', 'driverless cars would not be a good idea to implement into society because of who would be to blame if accidents did happen. ']"
Group 127,"['The electoral college avoids the problem\xa0of elections in which no canidate receives a majority of the votes cast. ', 'Also, the electoral college avoids the problem of elections in which no canidate receives majority of the votes cast. ']"
Group 128,"['First of all students would\xa0be benefit from being able to attend to classes from home because some have to work ', 'Lastly, students would benefit from being able to attend classes from home because for some students it is their only option ']"
Group 129,"['In the Electoral College system the voters dont vote for the president, they vote for a slate of electors & those slate of electors who in turn elect the president. ', 'Under the Electoral college, voters dont vote for the president, they vote for state electors who in turn elect the president. ', 'The electoral college system is unfair ', 'The electoral college avoids the problem of elections in which no condidate receives a majority of the vote cast. ']"
Group 130,"['My first reason for why students would not benefit from distance learning is that it would make it harder to make meaningful relationships. ', 'My last reason for why students would not benefit from distance learning is that it would make it even easier to be distracted from working. ', 'The conditions are far more extreme than anything humans encounter on Earth ']"
Group 131,"['polution ', 'polution ', 'Two, Electoral College is unfair to voters because of the winner-take-all system. ', 'under the electoral college system, voters vote not for the president, but for a slate of electors, who turn in elect the president. ', 'The single best argument aganist the electoral college is what we might call the disaster factor ', 'The electoral college is unfair to voters. ', 'Also the Electoral College restores some of the weight in the political balance that large states by the population lose by virtue of the mal-apportionment of the senate decreed in the constitition ']"
Group 132,"['the voters sometimes get confused about the electors and vote for the wrong candidate. ', 'Sometimes voters get confused about the electors & vote for the wrong candidate. ', 'the electoral college is unfair to voters ', 'The Electoral College is unfair ', 'It can be argued that the electoral college method of selecting the president may turn off potential voters for a candidate who has no intention or hope of carrying their state ', 'The Electoral College is unfair ', 'Under the college system,\xa0 voters vote not for the president, but for a slate of electors, who in turn elect the president. ']"
Group 133,"['The people in American should consider themselves lucky that the 2000 fiasco was the largest election crisis in a century; the system could have lead to much worse than that. Consider that state legislatures are technically responsible for choosing electors, adn that those electors could alwyas defy the will of the people ', 'The American people should consider themselves lucky that the 2000 fiasco was the biggest election crisis in a century. The system allows for much worse. Consider that the state legislatures are technically responsible for picking electors, and that those electors could always defy the will of the people. ']"
Group 134,"[""The choice you make can effect anyone in a negative way, although you may not be aware of it. That is why you should ask for an opinion(s) for it. You don't know what will happen when you make that choice and who it's going to effect. "", ""The choice you make can effect anyone in a positive way, because you were aware of everyone's opinions. That's why you should ask for an opinion(s) for the choices. You might know what will happen when you make that choice and who it's going to effect. "", 'Big States ']"
Group 135,"['they know the content, ', 'they know the content best. ', 'The Electoral college is unfair ', 'Perhaps most worrying is the prospect of a tie in the electoral vote. ']"
Group 136,"['The Electoral College is unfair because it is unfair to voters ', 'The electoral college is unfair to voters ']"
Group 137,"['avoiding run-off elections. ', 'avoid\xa0 run-off\xa0 elections. ', 'It can be argued that the electoral college method of selecting the president may turn off potential voters for a candidate who has no hope of carrying their state. ', 'swing states, ', 'big states, ', 'The Electoral College restores some of the weight in the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constitution ']"
Group 138,"[""Scientist figure it's a Martian mesa "", ""Scientist figured it's a martian mesa "", 'Electoral College alson avoids the problem of elections in which no candidate receives a majority of the vote cast.   ']"
Group 139,"['you have more options to choose from, ', 'more options to choose from, ', 'The Electoral college restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportonment\xa0 of the senate decreed in the constitution ']"
Group 140,"[""The canidate wouldn't have to worry about losing even though he won the popular vote, "", ""Most importantly the canidate wouldn't have to worry about losing even though they received the popular vote ""]"
Group 141,"['The electoral college is also unfair to voters because of the winner-takes-all system. ', 'the electoral college is very unfair because of the winner-take-all system. ', 'The final reason our school should continue to require extracurricular activities is because it gives students the opportunity to try new things. ']"
Group 142,"['The dont need away getting nowhere if its online classes. ', 'The dont need away getting nowhere if there are online classes ']"
Group 143,"['Our school should continue to require students to participate in extracurricular activities because it provides balance in their schedules, ', ""The first reason our school should continue to require extracurricular activities is because it provides balance in students' schedules ""]"
Group 144,"['Some people think that community service is useless or a waste of time. ', 'Some people think that community service is a waste of time ']"
Group 145,"['You will still need a driver for these cars ', 'these cars will still need a driver ']"
Group 146,"['To begin, In the source 2 they state the following ""60% of voters would prefer a direct election to the kind we have now."" ', 'In source two it says ""over 60 percent of voters would prefer a direct election to the kind we have now"". ']"
Group 147,"['""Thousands of anxious web sufers were waiting when the image first appeared on a JPL website, revealing a natural landform."" ', '""Thousands of anxious web surfers were waiting when the image first appeared on a JPL web site, revealing . . . a natural landform."" ']"
Group 148,"['""The Electoral College restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportionment of the Senate decreed in the Constitution ', '""The Electoral College restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportionment of the Senate decreed in the Constitution."" ', 'The electoral college is unfair, outdated, and irrational. ', 'Despite the reasons the electoral college is still the unfair, outdated, and irrational system it could be. ', 'The electoral college is unfair, outdated and irrational. ']"
Group 149,"['The author states in paragraph one, ""While Venus is simple to see from the distant but safe vantage point of Earth, it has proved a very challenging place to examine more closely."" ', 'According to Paragraph 1 it says that, ""While Venus is simple to see from the distant but safe vantage point of Earth, it has proved a very challenging place to examine more closely."" ']"
Group 150,"['it cost a lot, ', 'However, It\xa0cost a lot of money. ']"
Group 151,"['A few days later NASA unveiled tthe image for all to see. The caption noted a ""huge rock formation... which resembles a human head... formed by shadows giving the illusion of eyes, nose, and mouth. \n', 'A few days later NASA revealed the image for everyone to see. The caption said a \x93huge rock formation . . . which resembles a human head . . . formed by shadows giving the illusion of eyes, nose, and mouth.\x94 ', 'A few days later NASA unvield the image for all to see. the caption noted a "" huge rock formation... which resembles a human head... formed by shadows giving the illusion of eyes, nose, and mouth"" ']"
Group 152,"['The electoral college is widely regarded as an anachronism ', 'The electoral college is widely known as an anachronism. ', 'The electoral college avoids the problem of elections in which no candidate recives a majority of the votes cast. ']"
Group 153,"['choices ', 'choices, ']"
Group 154,"['What the picture actually shows is the martian equivalnet of a butte or mesa- landforms common around the American west. ', 'What the picture actually shows is the Martian equivalent of a butte or messa. These are landforms common around the American West. ', 'The Electoral College is a process of the selection of the electors, the meeting of the electors where they vote for President and Vice President, and the counting of the electoral votes by Congress (office of the federal Register 2). ']"
Group 155,"['you can have a lot of fun. ', 'You could have fun ', 'Despite the reasons the electoral college is still the unfair, outdated, and irrational system it could be. ', 'Sometimes voters get confused about the electors & vote for the wrong candidate. ']"
Group 156,"['Finally in paragraph 12 garvin states what the picture actually shows is the Martian equivalent of a butte or mesa- landforms common around the American West ', 'What the picture actually shows is the Martian equivalent of a butte or mesa-landforms common around the American West¨( Garvin,article 12 ). ']"
Group 157,"['many of the students parents may not have the money to pay for any extracurricular activity. ', 'most importantly, some students parents may not have the money to provide to the school for the extracurricular activities. \n']"
Group 158,"['This process is also unfair to voters ', 'the process is unfair to voters, ', 'The Electoral College is overall unfair to the voters. ']"
Group 159,"['Additionally,students will not benefit if they are able to attend classes at home because students will get less social communication. ', 'Lastly, students will not benefit if they are able to attend classes at home because student will be less focus. ']"
Group 160,"['Another reason is that it in our constitution ', 'For one reason is its in our Constitution ']"
Group 161,"['The photo actually showed the Martian equivalent of a butte or mesa. ', 'The picture actually shows the Martian equivalent of a butte or mesa. ']"
Group 162,"['Schools should have the option of attending classes through online means because the student may not be able to attend due to them being out of town. ', 'Schools should have the option of attending the classes through online means because the student may not be comfortable around their classmates. ']"
Group 163,"['The argument against the electoral college is what we might call the disaster factor. ', 'My argument against the electoral college is we might call the disaster factor. ', 'At the most basic level, the electoral college is unfair to voters. ']"
Group 164,"['however, they are wrong because distance learning reduces chances of receiving or giving illnesses and gives students a chance to not fall behind in school. ', 'however, they are wrong because distance learning prevents wide-spread illnesses from affecting students and students are not aware of how safe school is for their health. \n']"
Group 165,"[""It's so crazy to think that a computer can tell if your sad or happy "", 'It would be really strange if a computer can tell you if your happy or sad. \n', 'The electoral college process is unfair to voters. ', 'The electoral college is unfair to the voters because of the winner-take-all system. ', ""Everyone's president ""]"
Group 166,"['The electoral college is unfair to votes because the winner take all system in each state ', 'The electoral college is proven to be unfair to voters because of the winner takes all system ']"
Group 167,"['These cars are a waste of money. ', 'These cars are also a waste of time. ', 'The American people should consider themselves lucky that the 2000 fiasco was the biggest election crisis in a century. Consider the state legislature are technically responsible for picking electors, and that those electors could aleays defy the will of the people. ']"
Group 168,"['Even though community service is the right thing to do, it should not be forced upon anybody. ', ""community service won't hurt anyone, it will actually help someone. ""]"
Group 169,"['the electoral college system also has many things wrong with it besides being unfair. ', 'The Electoral College has a few things wrong with it. ']"
Group 170,"['Secondly, students would benefit greatly from attending classes at home because they would save a lot money on transportation and on school lunch fees. ', 'Students would benefit from being able to attend classes from home because students and their families would not have to worry about transportation. ', 'At the most basic level, the electoral college is unfair to voters. ']"
Group 171,"['it allows for the students to be more creative, ', 'it allows students to show their own creativity, ', 'The electoral college is unfair , outdated and also irrational. ', 'also the Electoral College restores some of the weught in the polyical balance that large states lose by virtue of the mal-apprtioment of the senate decreed in the constitutuion ']"
Group 172,"['I think that the face is a natural landform because there is no life on Mars that we have descovered yet ', ""The Face is a natural landform because NASA has proven that there can't be any life form on Mars "", 'voters sometimes get confused about electors and vote. ', 'Furthermore, The electoral college avoids the problem of elections in which no candidate recieves a majority of the votes cast. ', 'Lastly, students will not benefit if they are able to attend classes at home because student will be less focus. ']"
