text,type,pred
"In paragraph six the article talks about how they could make different ads show if you were happy or frowning. That could be good but if your watching, like youtube or videos and an ad shows, your going to want to keep watching your video and not the ad. If a person is watching a show and an ad pops up and they smile, then it shows another ad that the person didnt want to see because they wanted to keep watching thier show. I think people would be angry if that happen, because not a lot of people like ads ",evidence,claim
"Ads can be good for promotion of products, but i think we all know when your playing a game on your electronic device that you want to keep playing or watching and not the ad. ",claim,counterclaim
"The thing on Mars first was photographed in 1976. It is a huge rock formation that resembles a human face. There are shadows that give it the illusion that it has eyes, a nose, and a mouth. ",evidence,claim
Some believe that it is real evidence that there is life on Mars ,counterclaim,claim
well it is not. ,rebuttal,rebuttal
"On April 5, 1998, the Mars Global Surveyor flew over the ""Face."" The new cameras snapped a photograph that was ten times sharper than the original one. The new image revealed that it was a natural landform. ",evidence,evidence
"Some skeptics said that maybe the alien markings were hidden by the clouds, ",counterclaim,counterclaim
but in 2001 a newer image was taken ,rebuttal,claim
"This image was captured on a cloudless day, so there was nothing obstructing the view. This image also shows ",evidence,claim
"that the presumed face was a landform, and not the ancient work of aliens. ",claim,claim
easy plagiarism ,claim,claim
teachers' knowledge on how to deisgn and grade a project. ,claim,evidence
"When i was in the 6th grade, for fun, our teacher assigned the class to design a volcano that had to shoot up as far as possible into the air, made with paper mache, glue, and other accessible materials. There wasn't much instruction on how to do the volcano, as long as we were the ones building it, and the idea/design was original. Most kids' volcanoes looked pretty amateur, with varying degrees of success. However, the kid whose volcano shot up the highest, was disqualified for copying his design and materials exactly from a project someone had shared on the internet.

If a student can plagiarize someone's work from a project loosely designed by a teacher, then even more students can plagiarize a project that ""they themselves"" designed. ",evidence,claim
"Often times throughout middle school, my teachers would give the students each other's assignments to grade themselves. And afterwards, we would see in the grade book that the grade changed because the students weren't grading the assignments the way they should have been. The student grading was meant to engage the classroom, but it turned into a showcase of how students dont really know how to grade the way teachers do. If students are unaware of how a project is supposed to be graded, they can not successfully design a project that tests whether or not they understand the material. ",evidence,evidence
"Some people may say, ""but allowing students to design their own projects will allow them to focus more on their work during the summer."" ",counterclaim,claim
"Whenever I'm given a summer assignment, I know for a fact it I won't even look at the assignment until maybe about a few days before the first day of school. Which would lead to me rushing a lazily put together assignment and a not so good grade. Giving students the opportunity to design their own assignments will lead to students rushing their projects, and justifying it by claiming that the level of quality meets the standards of their assignment. ",rebuttal,claim
Well to start off the technology has decoded the Mona Lisa smile ,claim,evidence
"You know they one the smile that seams somewhat omanis when you look at it. well this program has determend that the paintings famous smile is mostly happy. The spcifics of the smile are as follows she's 83 precent happy, 9 precent disgusted, 6 precent fearful, and 2 precent angry. This computer software known as the FACS looks adn all 44 major mussles and then makes a decison based on that. How can this be helpfull to schools. ",evidence,evidence
"Now if you actualy like doing greek and latin roots in your english class you may not need this new technology, However you may not like another class like math classes ",evidence,evidence
If we start doing eveything on computers like all of our lessons for example we will probably need this to keep us from not falling asleep during the class. ,claim,evidence
"If we do end up adopting this new software into our computers it could make us have more fun lessons and make the classes end faster, well do to preception ",claim,claim
If the technology could be used with just a webcam then you could just look at your students face and see if they are bored or off task and make the lesson more enjoyable. We could just look at the precentages of the kids facial expressions like how they found out how the Mona Lisa's smile was mostly happy. ,evidence,claim
The photo isn't clearly shown as a face it just looks like a planets land form ,claim,claim
"It may aslo be a feture that is only unique to this palnet like the moon has thousands of craders. I just feel as if Earth has all the water and green grass on it mayb Mars has these land forms instead. Also it might be like how people gaze at the stars or the clouds to see if they make an object or a human face. If you look closley you can see that the

""face"" has ridges or canyon. So maybe the ridegs/canyons made the land form that way ",evidence,claim
NASA on the other hand and says there is likelyness of a human face. They also believe it is an alien artifac ,counterclaim,counterclaim
"According to the picture they say because of the shadows it portraies eyes, nose and mouth. They say that in the years that they took the picture it has developed more and more over the spands of years. 
",evidence,claim
"Well Paris has enforced a driving ban to help clear the air of pollution. ""On mondays motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31). The same would apply to odd-numbered plates the following day."" Many people, in Paris, were fined for driving on the wrong day. Paris wanted to do something about the smog that was surrounding their beautiful city, so they figured if there wasnt as many cars polluting the air then the smog would go away. ",evidence,claim
It actually helped having cars stop driving on certain days because the smog actually cleared. ,claim,evidence
"""Recent studies suggest that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by."" American has always had a thing for cars but lately that seems to be a false statement. ",evidence,claim
"In the more populated citys, people are using more bikes and less cars. Its easier to get around a city where there are thousands of people on the streets alone. ",claim,claim
"Internet maybe a huge reason why theres less dringing because it feels like your more connected with your friends and family without actually having to go anywhere. The need for cars in the U.S. has gone down dramadically. 
",evidence,claim
"Ever been to a place where there are no cars aloud. Well in Vauban, Germany there is a place where if you want to go there you have to give up your car. ""Street parking, driveways and home garages are generally forbidden is this experimental new district on the outskirts of Freiburg."" People are happier without the stress of a car says Heidrun Walter. ",evidence,claim
"This is a place for clean air and no pollution from the car fumes. As of right now, this experiment seems to be running quite nicely. ",claim,evidence
"Also when riding in or driving a motorized vehicle, your could get into an accident.  Getting into an accident in a vehicle could have much more fatal result than you walking, jogging, or even riding a bicycle. 
",evidence,evidence
"Although walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle.  ",counterclaim,claim
"You could be walking along when a stranger may walk up out of nowhere, beat you up, and could hurt you very badly.  They may also take your wallet/purse.  Depending on who the person is, you could end up with a black eye, cut or busted lip/eye, or anything miner; while if the wrong person gets ahold of you, you could end up in the hospital needing surgery, transplant of some sort, or could even loose your life. ",evidence,claim
"Also, owning a car could could put someone in debt.  ",claim,evidence
"Falling behind on payments could be devastating to you and your family.  When the car company comes to reposses your vehicle, you could end up having to walk, jog, or even ride a bike. ",evidence,claim
After reading the article I really could'nt decide. When reading about the FACS the first thing that came to my mind was to use this technology on the faces of celeberties. ,evidence,claim
Well it's because it would be fun to do so. In my opinion that's what it's most useful for in classrooms. ,claim,claim
Sure the teacher could use this technology to teach students about how advanced the humans have become but.. ,counterclaim,claim
Imagine being a teacher and then one day you introduce the FACS to your students. What do you think the first thing they do would be? I think the first thing they would do is take selfies and let the FACS analyze thier face. Then they laugh at the results. ,evidence,claim
See they are doing it for fun. ,rebuttal,evidence
"This reminds me of disecting frogs in biology. Some students think it's useful for your education while some other students think it's a waste of time, a waste of life for the frogs and that disecting them in the first place is already digusting. But do they do this for fun. NO they don't. They do it to learn about the oragns of the frogs and the purpose of each organ. But is disecting frogs valuable? Yes in my opinion. ",evidence,counterclaim
But that dosen't mean that you should not let them try it. ,counterclaim,counterclaim
"Here's what the teachers should do. They show the students a picture of someones face. Lets just say for example Mona Lisa. The students will stare at the picture for about a minute carefully looking at every part of Mona Lisa's face. Then the students will decide Mona Lisa's emotion by rating her happiness, sadness, anger, digust or any other kind of emotions. Then after that the teacher uses the FACS on Mona Lisa's face to see if the results for Mona Lisa's emotions from the technology is the same as the results from the students. ",evidence,claim
"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Suprising finding were that (1) the noise added to test face image had profound effect on the facail expression and (2) in most every istance the new expression was meaningful.

All 44 major muscles in the mode must move like human muslces. Movemment of one or more mucles is called an ""action unit"" Then Dr. Pual Eckam, creator of (FACS) Ekman has classified six basic emotions- happeniess, suprise, anger, disgust, feat and sadness. In the text it states,""The soft wear is the latest innovatiobn from Prof. Thomas Huang, of the Beckman Institiute for Advance Science at the University of

Illinois."" Dr. Huag and colleague are experts at developing better ways fo humans and computers to communicate. The faical expressions for each emotion are univeral, observers Dr. Huang, even thought individuals often show varying degrees of expression (like smiling broadly). Using video imagery, the new emotion-recqizing softwear facture these movements.

The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. The process begins whwne the computer constructs a 3-D comupter Model. ",evidence,claim
"While a summer project is not something most students would like to do over there break, teachers could allow there students to choose a topic or unit to base there project on. ",claim,claim
Students can use this to there advantage and choose a topic they were intreasted. Students could learn and still enjoy working on the project. Students also have an easier time working on topics that they have knowledge on allowing them to complete there work easily. Students can take advantage of being able to design there own project and choose a topic or unit that they struggled on through out the year. Working on these weak points can strengthen your skills for next school year. Students can go back and look at past notes and worksheets helping improve there skills in that topic. ,evidence,evidence
"Students being able to design there projects could allow the student to create something they enjoy doing over the summer with friends and family, rather then students thinking of it as another teacher assined project that is boring ",claim,evidence
Instead they can create something that they think of as fun but still educates them. They could also use this project to study or learn upcoming cirriculum for next year. This would allow the student to get a head start on future units and topics. ,evidence,claim
"The Mona lisa demonstration really intended to bring a smile to your face this while just imagine how a computer knows when you're happy or sad thats crazy. For example, if you smile as soon as a web ad appears on the screen another ad will follow. Lets say that you frown the next ad will be different from the one you smiled on. Another thing a classroom computer can know when students are becoming to be confused or bored.

How the start of the porcess is when the computer contracts a 3-D computer model of the face all of the 44 major muscles on the model must have move like human muscles. Eckamn has classified six emotions for example anger, surprise, fear, sadness and happiness. Movement for more than one muscle is called a unit.

In fact us human perfrom this impressive called calculation we use it everyday. For example, you could tell how your friend is feeling by looking at his or her face. most us would have trouble describing each others facial trit that makes us happy or worried. Yet Dr. Huang observes artist like Leonardo Da Vinci he studied human anatomy to help them paint facial muscles to have enough convey specific type of emoitions. ",evidence,evidence
However the new technology is valuable by telling you how what are your human emotions. For example a classroom computer can show when a student is bored or getting confused. Also it can classified six different motions ,claim,evidence
"When someone decidedly does not like something, you can't force them to like it, no matter how hard you try. That is what it can feel like for students when teachers assign work that is not interesting to them over and over again. There is no way for every part of classwork to interest students, but teachers could make an effort to make the one assignment that no one wants to do over the summer, interesting. ",evidence,claim
"When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done. ",claim,evidence
Having students choose their project will save both the teachers and students from the painful force feeding of information. ,evidence,claim
"Now, this assignment can not be a free for all, that would not be completely fair. There may be some students who go above and beyond while some may do the bare minimum and call it done. ",counterclaim,claim
To avoid this scenario teachers could implement some sort of rubric or guidelines for what the student chosen project would have to include and how they will go about grading it. This way the playing field is level and everyone has the opportunity to succeed. ,rebuttal,claim
A common issue faced with summer work is the student procrastination. Obviously no one wants to do schoolwork on their vacation so it is common practice to put it off for as long as possible and then rush the night before. Even if there was three months to do it! ,evidence,evidence
"With a student chosen project, students may feel more inclined to do their work because working on something that interests them won't feel like such a chore. ",claim,evidence
"In the begining of the artical it talks abou how Venus isthe second closest planet from the sun and how it is one of the two most similar planets to Earth. Since it has similarities to Earths' size and density scientest have sentunmanded spacecrafts to Venus to investigate.

Unfortunatlly no space craft has survived acording to the last two sentances of paragraph two. In the beginning of paragraph three it states how a thick atmosphere of almost 97 percent of carbon dioxide engulfs Venus. The clouds on this planet are also highly currosive with sulfuric acid in them. The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth. This concludes that Venus has the hotest surface tempreature of any planet in our solar system. Venus also has obsticals like erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface. ",evidence,claim
With all these complications though scientest still are curious about this dangerous planet. ,claim,counterclaim
"In the second sentance of the fourth paragraph it explains that astronomers are curious because it may have been the most Earth like planet in our solar system. The planet resembles a surface with rocky sediment and includes things such as valleys, mountains, and craters.

In the fifth paragraph it states that NASA is coming up with possible solutions to avoid most of these issues. One of them is inventing is a small vehical that resembles a blimp floating 30 miles above Venus's landscape. 
",evidence,claim
Now this doesn't get the scientest what they want exactly what they want ,claim,claim
"because due to the planets atmospher light doesn't peneatrate very well making it difficult to observe ground conditions. It also limits the amount that you would see in pictures and vidoes of the planet. Many researchers are working on new inventions so macheines will last longer on the harsh planet.

For example in the seventh paragraph NASA states that it has been working on electronics made of silicon carbon and they have even tested it a chamber concluding that it lasted in the harsh conditions for three weeks. They are also recyclaling old ideas from the 1800's, they are trying to use a computor that does calculations,but theinvention uses gears and levers, meaning that it doesn't require any electricity to work. ",evidence,claim
Students have other things to do at home ,claim,counterclaim
"Many students have a lot of things to do at home and they're already busy with other things. Students have a lot of homework to do from different teachers. For an example students are given a lot of homework and have chores to do at home like cleaning clothes, taking care of their pets, cleaning the house or taking care of their siblings. Some students are already tired from school and might not want to participate in any other activity because they have to wake up early for school and have to do school work really early even though science say that the human brain starts working correctly when it's ten in the morning so that means the human brain of a middle school might not work so well at six or seven in the gosh darn morning. ",evidence,claim
"I disagree with the principal that every student must participate in an activity because not everyone is sporty, want to stay inside and do the yearbook or serve on the student council. ",claim,counterclaim
Some kids just want to go home and relax a bit after doing work at school or some just want to play games to realest their stress of school. ,claim,evidence
I think that students don't need to participate an any sort of activity that has to do with school because people want their minds off of school and not have to worry so much about it. Kids just wanna have fun out of school and don't want to do anything school related. Well most kids don't want anything to do with school once they get home. ,evidence,claim
"When you go and become a Seagoing Cowboy you get to live on a boat with farm animals. Also while on your way to your distanation you get to stop at cool places. You can stop Greece,Italy,& China. Also even a castle. You get to see different cultures. When your fun and amazing trip comes to an end and you have to go home. Where their were animals is a big and open, because they are gone now. So you play sports like baseball, volleyball, table-tennis, fencing, and boxing. Also it wastes time on the way back. ",evidence,claim
I belevie if you do go you would have one of the best time of your life. ,claim,claim
Also keep in mind this is to help paces after World War II. ,claim,evidence
And you get to see how this world changed from a war. And how people are doing in their new home that was maybe was distroed. And when you do help you see how the people are happy and so thankful for you help with supplies. So they can now live again with some comfort.           ,evidence,evidence
Using your cellphone can actually be deadly ,claim,rebuttal
"because cell phones can cause inattention blindness while driving, you are putting yourself and others around you in danger, and placing a ban on cell phone use while driving is proven to be effective. 
",evidence,evidence
Using your cell phone while driving is very common nowadays. ,claim,claim
"When people use their cell phones while driving it sometimes has a negative effect. Cell phone usage while driving is a common occurrence in today's society. Unfortunately, it often has a negative impact on drivers using phones and those surrounding them. Because of the growing popularity of cellular devices in modern society, the urge for the public to use their phones frequently is severe. ",evidence,claim
"When you are using your cell phone while driving, you're doing all three types which are manual, visual, and cognitive. ",claim,evidence
"Manual distraction is when you are taking your hands off the wheel for even just a split second. Many deadly accidents are caused by someone bending down to simply pick up their phone that fell on the floor of the car. Many of us don't realize how distracted we are when using our cell phones until we look up from our screens. That's when we notice that we are swerving to one side too much, speeding or slowing down, or that we are very close to the car in front of ours.                                                    ",evidence,evidence
Teens and adults spend most of their time on their cellular devices. They are either on social media or texting. Nobody gets on the phone anymore its all about texting now ,evidence,evidence
It is very dangerous to text while driving ,claim,rebuttal
"because you are putting more attention on texting then the road, and they take their eyes off the road while they are driving, which increases the chance that the driver can lose control of the car, and could get into a car accident or worse die. Texting and driving are worse than drinking and driving ",evidence,claim
"Also, it's illegal to text and drive but people still do it cause they don't think about the consequences or what could happen. ",claim,evidence
"Texting and driving is one thing you should not be doing cause a lot of things could happen and texting is not worth risking your life. When you can wait to text the person back or just get on the phone using Bluetooth to the car and talk, its better than risking your life or someone else. ",evidence,rebuttal
so students can study and understand how the artist felt when he or she painted on the canvis. ,claim,evidence
"They could be happy, sad, surprise, angery, disgusted,and afraid. ",evidence,counterclaim
"The FACS (Facial Action Coding System) is a good thing, because not only students can the device but middle age people can use the device too. ",claim,evidence
"paragraph 1 said ""She's 83 percent happy, 9 percent disgusted, 6 percent fearful, and 2 percent angry."";and how we know that? you may ask. The FACS ""Dr. Huang relies on the work of psychologists, such as Dr. Paul Eckman, creator of FACS"" witch was stated in paragrah 3; they said all 44 major muscles in the model must move like human muscles and when moving of one or more muscles is called an action unit. ",evidence,claim
"Paragraph 4 said ""The facial expressions for each emotion are universal"" and that means every you move your expressions change. They also gave an example they said like not smiling as broadly. They can move and mix emotions in da vinci's masterpiece witch the Mona Lisa useing the FACS. Dr. Huang's new computer software cantanes similar anatomical information as electronic code. ",evidence,claim
"So lets say you was trying to see all of your mom's emotions in one picture, ",evidence,claim
"by useing FACS you can move rotate and mix emotions to figer out your mom emotions, and to have students and teacher do that thats cool ",claim,evidence
"There are many reasons why I agree with the use of the FACS. For instint, technlogy would be able to identify how you feel about what you're learning, ",claim,claim
it'll make you a more emotional person ,claim,evidence
it will help you stay on task. ,claim,evidence
I think the FACS has a good chance of changing the future in a possitive way. ,claim,claim
The FACS was desinged to to recognize six everyday emotions. This would be helpful when a student is confused or does not understand what the teacher is trying to teach. ,claim,evidence
The system could then modify the classwork that the student is working on. With more practice the computer could then change the difficultiness of the assignment according to how the student feels. For an example lets say a gentelman is stuck on a math problem. The frustration that the gentelman is showing will be seen by the computer. The computer will then help the gentelman by modifying it or infroming the teacher where he is struggling. This will better his education and help out more when students are scared to ask for help. ,evidence,evidence
The positive effect that the FACS has on the students is another reason why it will be vaulable in classrooms. ,claim,evidence
"In the passage it says,"" According to Facial Feedback Theory of Emotion, moving your facial muscles not only expreess emotions, but also may even help produce them. (""Putting on a happy face"" actually works!)"". This proves that it has been proven by experts that this system could help spread positive vibes. ""Whoever thought that making faces could receal so much about the science of emotions!"". ",evidence,evidence
"Finally, the FACS could help identify when students are bored and are not paying attention. ",claim,evidence
This will help a student pay attention and not stay behind. The solution to this would be to modify the infromation to be interesting or less difficult for a student. I assume that this would decrease the amount of missing assignments and improve grades. This will be better fro the students to gain knowledge. ,evidence,claim
The author of the article does mention how difficult it is to study Venus by bringing up the planet's harsh atmosphere in Paragraph 3 ,counterclaim,claim
Which further proves his point how valuable it is to study Venus. ,evidence,evidence
He also points out that Venus may have been a lot like Earth a long time ago in Paragraph 4. ,claim,claim
"This doesn't just further our understanding of Venus, but it may also give us more information about Earth as well. ",evidence,evidence
"In Paragraph 5, the author mentions NASA's plans on how to study Venus. ",claim,claim
He does mention that those plans may have challenges fo their own in Paragraph 6. ,counterclaim,claim
"The author pushes to try those plans out in a realistic manner. The author being realistic with the reader, makes the reader want agree with him more. ",rebuttal,evidence
"Technology has been upgraded throughout recent decades, and most recently, technology has taken a different approach. The software is the latest innovation from Prof. Thomas Huang, in collaboration with Prof. Nicu Sebe. Dr. Huang and his colleagues are experts at developing better ways for humans and computers to communicate, but is this really a better way to communicate? It comes down to the facts. The computer constructs a 3-D computer model of the face, and then associated each with characteristic movements of the facial muscles. Everyone has different ways of expressing emotions, and not everyone feels the same emotions. Thinking that a computer could possibly detect your emotions is a bit silly, to some, and valuable to others. So what makes it silly to some? You can probably tell how a friend is feeling by the look on their face, you can talk with them in person. ",evidence,claim
"Having physical contact is very important when it comes to emotions, using a computer to detect, sounds a bit far-fetched. Schools have teachers, and school counselors, so that students can talk express how they feel. Some people don't see why this feature could possibly be useful in a classroom. ",claim,claim
"There are many issues going on in the world, much worse than trying to figure our expressions. So, why aren't we using this tchnology, and these smart people to work on something more important? Imagine a computer that knows when you're happy or sad, what would you need it for ",evidence,claim
"Human communication is very important, using a computer to detect how you feel is simply a waste of time, in some opinions. Making faces can reveal so much about the science of emotion. ",claim,counterclaim
"On the other hand, what could the Facial Action Coding System be useful for in classrooms? Students may be able to use this feature in physiciatry studies ",counterclaim,claim
"Students may also use this feature in art classes to really capture what the artist was depicting in the work. For instance, this new software was able to create percentages of Mona Lisa's emotions. The latest innovation in computer software may be very useful for art classes, knowing how a person may be feeling in a painting may help students to depict the artists work, a bit better. As humans, we can tell how someone may be feeling by the look on their face, or the look in their eyes. Most of us would have trouble trying to describe what facial expressions convey being happy, besides a smile. The computer can make exact percentages on each emotion you may be feeling. ",evidence,evidence
"However, a computer cannot feel, cannot have sympathy, and cannot understand many things about humans. ",rebuttal,counterclaim
"well scientist come to notice that venus has some familiar featurs alike earth it has vallys, mountains,and craters, scientist have come to think that long time ago, venus was probably coverd with oceans and could have suppoted various forms of life, just like earth today., thats why scientists are not giving up on figuring out venus witch is why they are still trying to go back to venus safe and scientificly productive following the safe orders that NASA gave the scientist, NASA gave sicentist permission to go to venus with some conditions,they will only be allowed to be floating above the fry, scientist will have to invent a stronger space ship, and they will have to study not just the planet but the people more so it can be safer and they dont have any risks. not to mention venusis the closest to earth in terms of desity and size, and occasionatly the closest to didtance too its the second planet from our sun known as erths twin. ",evidence,claim
many are in the suburb of germany. some are also in Bogota. And many more countrys like the United states. ,evidence,claim
", it has some car limiting usage. the country that it resigns in  the suburbs of germany. For an example "" automobiles are linchpin of the suburbs where middle-class families from Chicago to Shanghai  tend to make thier homes."" ""Experments said that there is a drastically reduce greenhouse gas emision from the tailpipes. It also states that the passager cat are responsible for 12% of greenhouse gas  emissions in Europe. And up to 50% in some car-intensive areas in the united states."" ( Rosenthal, paragraph 5) So thats a limiting car usage ",evidence,evidence
Because  the greenhouse percentage is going up in many countries  mainly Europe and the United States. ,claim,evidence
"Thats just not it, The united states has been the worlds prime car cultures.  ""Its also the birthplace of the model T; the home of Detroit; the place where Wilsom Pickett immortalized ""Mustanf Sally"""" "" Demographic shifts in the driving population  suggest that the tend may accelerate. There has been a large drop in percentage of 16-to 39 years olds getting a license, while older people are likely to retain thier licenses as they age"" Mr. Sivaks research has found. (paragraph 39) In New York , there is  a ""proliferation of car-sharing programs acroos the nation"" (paragraph 37)  there are many car limiting advantages like is stated above  car-sharing that was devolped in New  York and now travling all over the United States. There are many elder people reatinging their license. And less younger people getting thier licenses. ",evidence,claim
"Attention !!! to all the residents of this community are Bendz and Suburban going were all the extoic cars and muscle cars at all i see bendz and suburban, Its few foreigen cars out there in the street. when I riding on the highway I like to see Mustangs and And Lamborginis ride aside if me because its excited other people it make them want to buy Mustangs and Lamborginis.

Yes Bendz are nice but i want to see some foreiegn cars Like Bugati and RoyalRoce 50% you will see foreiegn ride around in the city I like to take a trip to see al type of cars with nice paint job and nice looking skirt. You will not see that much cars riding around because people sell them to live in beautyful homes. In 2007 all the streets was full with muscle cars because the rapper Rick Ross was the first person drive a drop top mustang so many people was so excited thats i seen the whole streets with differnt type of mustangs and drop tops.

In the early 90's thats when automobile was invented,  they really was made for middle-class families and Miami to Tallahassee Because it was alot of people thst need gas and lights when the hurricane came through.12 percents of huge houses gas emission in Chicago... and up 72 percent cars-invented area in the united states while they building cars some people has catch buses.

It has been efforts in the past two years to make denser and better for walking in 2010 that's when stationwagins was invented so people really did have to walk anymore or catch buses but some catch buses because it save gas and money. In the united states the protection agency is promoting car reduced communities and legislators are starting to act.

every since world war I alot of cars was getting destroy lets stop destory cars because thats our transportation said Martin Luther King jr, a fast growing of hundreds in the united states was getting larger and the car population more foreiegn cars and mucle cars was hitting the streets.                    ",evidence,claim
they will be involved in their school ,claim,claim
they will make friends ,claim,evidence
they could enjoy it. ,claim,claim
Students should always feel involved in their school. ,claim,counterclaim
"Every student matters and can make a difference. A good way to be involved at school is to join an extracurricular activity. For example, if someone joined the SCA then they would be involved by organizing school dances and events. Giving ideas to the student council is another way to be a part of your school. Say you thought that the dress code needed to be adjusted, you could join a club and talk about it. These clubs can be used to spread awareness for bullying. Someone could of been bullied and they want to feel part of something so they join a club for bullying awareness. Students should encourage others to be part of something at their school. There are numerous ways to be involved at your school, all you need to do is put yourself out there. 
",evidence,evidence
"Joining an extracurricular activity is a great way to make new friends, because you get to meet people that you would of never talked to if you didn't join that club. ",claim,evidence
"If you are generally a shy person then a club or sports team will help you meet new people. For instance, if you get on a sports team you and your team will become one big family. You all will work together during games which will create a bond. Another example is if you join an art club you will have something to talk about because you both will like art. Sometimes it can be hard to open up to people and make friends but trust me doing an activity will help that tremendously. When I first joined JV soccer I was really intimidated by all the big kids, but then I talked to them and they seemed really nice and talked to me. This goes to show that extracurricular activities can help you make friends that you would of never made if you didn't join that club. ",evidence,evidence
Another important reason to join a club is that you could actually really enjoy it. ,claim,evidence
